School LMS,,,,
Admin Matrix (organization),,,,
Feature,Basic,Premium,Premium Plus,
Academic year & board configuration,?,?,?,"What it is
System-level setup of:
1. Academic year (start/end)
2. Term structure (Term 1, Term 2, etc.)
3. Education board (CBSE / ICSE / State / IB)
4. Board-specific grading logic
Why it matters
All scheduling, grading, and reporting depend on it.
Report cards differ by board format.
Attendance/assessment weightage varies by regulation.
Strategic value
Enables:
1. Multi-board schools
2. Board-compliant exports
3. Scalable deployment across school chains"
Grade/section setup,?,?,?,"What it is
Configuration of:
1. Grades (Grade 1–12)
2. Sections (A, B, C)
3. Student allocation
4. Teacher assignment
Why it matters
Everything in a school is section-based.
Controls permissions and analytics segmentation.
Strategic value
Supports:
1. Cohort comparisons
2. Promotion to next grade
3. Transfer workflows"
Timetable & bell schedule,?,?,?,"What it is
Digital representation of:
1. Period structure
2. Subject timing
3. Teacher assignment
4. Working days / holidays
Why it matters
1. Automates attendance.
2. Powers teacher dashboards.
3. Prevents scheduling conflicts.
Strategic value
Enables:
1. Real-time class snapshots
2. Daily engagement analytics
3. Auto reminders"
Subject mapping to syllabus,?,?,?,"What it is
Mapping school subjects to:
1. Board syllabus chapters
2. Learning objectives
3. Term plans
Why it matters
1. Aligns lesson plans with board expectations.
2. Supports outcome tracking.
Strategic value
Enables:
1. Mastery heatmaps
2. AI lesson alignment
3. Accreditation-ready reporting"
Role-based access control,?,?,?,"What it is
Granular permission control for:
1. Admin
2. Teacher
3. Student
4. Parent
Why it matters
1. Data privacy (especially minors).
2. Prevents unauthorized grade edits.
3. Restricts sensitive information.
Strategic value
Mandatory for compliance + scalable governance."
Bulk user import,?,?,?,"What it is
CSV/API import for:
1. Students
2. Teachers
3. Parents
4. Sections
Why it matters
1. Schools cannot manually create 2,000 accounts.
Strategic value
1. Reduces onboarding friction ? Faster adoption."
Parent-child linking,?,?,?,"What it is
One parent account linked to:
1. One or multiple children
2. Guardian type classification
Why it matters
1. Essential for K–12.
2. Parents monitor progress, not students alone.
Strategic value
Enables:
1. Parent dashboards
2. AI parent assistant
3. Attendance alerts"
School-wide dashboard,?,?,?,"What it is
Aggregated view of:
1. Academic performance
2. Engagement metrics
3. Attendance trends
4. AI usage
Why it matters
1. Principal-level visibility.
Strategic value
1. Transforms LMS into decision-support system."
Cohort comparisons,Basic view,Detailed,Advanced analytics,"What it is
Compare:
1. Section vs section
2. Teacher vs teacher
3. Term vs term
Why it matters
Identifies:
1. Weak classes
2. Teaching inconsistencies
3. Intervention needs
Strategic value
Enables data-driven school improvement."
AI usage policy control,?,?,?,"What it is
Admin sets:
1. Which AI tools are allowed
2. Grade-wise restrictions
3. Usage limits
Why it matters
1. AI must be age-appropriate in schools.
Strategic value
1. Prevents misuse and regulatory issues."
AI guardrails (restricted topics),?,?,?,"What it is
AI filters:
1. Unsafe topics
2. Inappropriate language
3. Non-age-appropriate answers
Why it matters
1. Critical in K–12 environment.
Strategic value
1. Safety-first positioning vs generic AI tools."
AI audit logs,?,?,?,"What it is
Logs:
1. Who asked what
2. AI response
3. Timestamp
4. Content source
Why it matters
1. Transparency
2. Misuse investigation
3. Parent trust
Strategic value
1. Compliance + accountability layer."
AI anomaly detection,?,?,?,"What it is
Detects:
1. Unusual AI usage spikes
2. Mass AI dependency
3. Suspicious patterns
Why it matters
1. Prevents over-dependence and misuse.
Strategic value
1. Proactive governance."
